Order ID,Customer Name,City,Category,Sales Amount,Quantity,Order Date
1001,john smith,new york,Electronics,1200.50,2,2024-01-15
1002,JANE DOE,Los Angeles,clothing,450.00,3,2024-01-15
1003,Bob Johnson,CHICAGO,Electronics,,1,2024-01-20
1004,john smith,new york,Electronics,1200.50,2,2024-01-15
1005,Alice Brown,Houston,Food & Beverages,89.99,5,2024-01-22
1006,Charlie Wilson, Miami ,Electronics,15000.00,1,2024-01-23
1007,,Dallas,Clothing,320.00,2,2024-01-24
1008,Eva Martinez,Phoenix,food & beverages,45.50,,2024-01-25
1009,Frank Lee,San Antonio,ELECTRONICS,780.00,3,2024-01-25
1010,Grace Kim,San Diego,Clothing,210.00,1,2024-01-27
1011,Henry Chen,Dallas,Electronics,950.00,2,2024-01-28
1012,Isabel Santos,San Jose,Food & Beverages,,4,2024-01-29
1013,GRACE KIM,san diego,Clothing,210.00,1,2024-01-27
1014,Jack Brown,Austin,Electronics,3400.00,1,2024-01-30
1015,Karen White,Jacksonville,clothing,175.00,3,2024-01-31
1016,Liam Davis,Fort Worth,Food & Beverages,62.00,2,2024-02-01
1017,Mia Garcia,Columbus,Electronics,,1,2024-02-02
1018,Noah Martinez,Charlotte,Clothing,290.00,,2024-02-03
1019,Olivia Brown,Indianapolis,FOOD & BEVERAGES,78.50,6,2024-02-04
1020,Peter Johnson,San Francisco,Electronics,2100.00,1,2024-02-05
1002,JANE DOE,Los Angeles,clothing,450.00,3,2024-01-15
1021,Quinn Lee,Seattle,Clothing,380.00,2,2024-02-07
1022,Rachel Kim,Denver,Food & Beverages,95.00,3,2024-02-08
1023,Sam Wilson,Boston,Electronics,1450.00,2,2024-02-09
1024,Tina Chen,Las Vegas,clothing,220.00,1,2024-02-10
1025,Uma Davis,Portland,Food & Beverages,55.00,4,2024-02-11
1026,Victor  Lee,seattle,Electronics,870.00,2,2024-02-12
1027,,miami,CLOTHING,130.00,1,2024-02-13
1028,Wendy Scott,Denver,food & BEVERAGES,48.00,3,2024-02-14
1029,Xander Brown,Boston,electronics,1900.00,2,2024-02-15
1030,Yara Wilson,Portland,Clothing,,1,2024-02-16
